scenario,hour,price,soc,charge,discharge
1,1,16.18,0.0,0.0,0.0
1,2,15.45,0.0,0.0,0.0
1,3,16.21,0.0,0.0,0.0
1,4,15.64,0.0,15.263157894736842,0.0
1,5,15.01,14.5,30.0,0.0
1,6,13.9,43.0,30.0,0.0
1,7,15.98,71.5,30.0,0.0
1,8,17.35,100.0,0.0,0.0
1,9,19.39,100.0,0.0,0.0
1,10,19.52,100.0,0.0,0.0
1,11,23.11,100.0,0.0,0.0
1,12,30.01,100.0,0.0,0.0
1,13,38.34,100.0,0.0,0.0
1,14,61.73,100.0,0.0,0.0
1,15,52.57,100.0,0.0,30.0
1,16,74.2,68.42105263157895,0.0,9.090622904148587
1,17,74.29,58.85197589036991,0.0,8.302643915244703
1,18,59.54,50.11235071642811,0.0,14.278619800064495
1,19,46.95,35.08222461109706,0.0,12.966908726687164
1,20,38.73,21.43284700405794,0.0,20.361204653855044
1,21,33.44,0.0,0.0,0.0
1,22,26.34,0.0,0.0,0.0
1,23,25.68,0.0,0.0,0.0
1,24,21.8,0.0,0.0,0.0
2,1,15.67,0.0,0.0,0.0
2,2,17.71,0.0,0.0,0.0
2,3,17.03,0.0,0.0,0.0
2,4,15.84,0.0,15.263157894736842,0.0
2,5,15.59,14.5,30.0,0.0
2,6,14.69,43.0,30.0,0.0
2,7,14.18,71.5,30.0,0.0
2,8,15.04,100.0,0.0,0.0
2,9,15.4,100.0,0.0,0.0
2,10,16.22,100.0,0.0,0.0
2,11,19.21,100.0,0.0,0.0
2,12,25.48,100.0,0.0,0.0
2,13,25.68,100.0,0.0,0.0
2,14,47.86,100.0,0.0,0.0
2,15,57.11,100.0,0.0,30.0
2,16,65.74,68.42105263157895,0.0,9.090622904148587
2,17,70.11,58.85197589036991,0.0,8.302643915244703
2,18,59.42,50.11235071642811,0.0,14.278619800064495
2,19,40.79,35.08222461109706,0.0,12.966908726687164
2,20,31.82,21.43284700405794,0.0,20.361204653855044
2,21,25.36,0.0,0.0,0.0
2,22,19.51,0.0,0.0,0.0
2,23,22.01,0.0,0.0,0.0
2,24,20.42,0.0,0.0,0.0
3,1,26.91,0.0,0.0,0.0
3,2,17.01,0.0,0.0,0.0
3,3,18.99,0.0,0.0,0.0
3,4,17.07,0.0,15.263157894736842,0.0
3,5,16.52,14.5,30.0,0.0
3,6,16.26,43.0,30.0,0.0
3,7,18.54,71.5,30.0,0.0
3,8,18.97,100.0,0.0,0.0
3,9,17.97,100.0,0.0,0.0
3,10,18.07,100.0,0.0,0.0
3,11,18.25,100.0,0.0,0.0
3,12,23.06,100.0,0.0,0.0
3,13,29.38,100.0,0.0,0.0
3,14,50.1,100.0,0.0,0.0
3,15,42.86,100.0,0.0,30.0
3,16,58.39,68.42105263157895,0.0,9.090622904148587
3,17,62.55,58.85197589036991,0.0,8.302643915244703
3,18,63.39,50.11235071642811,0.0,14.278619800064495
3,19,46.56,35.08222461109706,0.0,12.966908726687164
3,20,38.19,21.43284700405794,0.0,20.361204653855044
3,21,33.45,0.0,0.0,0.0
3,22,25.58,0.0,0.0,0.0
3,23,25.69,0.0,0.0,0.0
3,24,21.11,0.0,0.0,0.0
4,1,16.78,0.0,0.0,0.0
4,2,15.75,0.0,0.0,0.0
4,3,14.76,0.0,0.0,0.0
4,4,14.14,0.0,15.263157894736842,0.0
4,5,12.93,14.5,30.0,0.0
4,6,12.23,43.0,30.0,0.0
4,7,12.66,71.5,30.0,0.0
4,8,13.84,100.0,0.0,0.0
4,9,15.86,100.0,0.0,0.0
4,10,16.69,100.0,0.0,0.0
4,11,20.99,100.0,0.0,0.0
4,12,25.68,100.0,0.0,0.0
4,13,25.04,100.0,0.0,0.0
4,14,46.66,100.0,0.0,0.0
4,15,42.33,100.0,0.0,30.0
4,16,57.03,68.42105263157895,0.0,9.090622904148587
4,17,59.97,58.85197589036991,0.0,8.302643915244703
4,18,62.47,50.11235071642811,0.0,14.278619800064495
4,19,62.58,35.08222461109706,0.0,12.966908726687164
4,20,41.67,21.43284700405794,0.0,20.361204653855044
4,21,33.44,0.0,0.0,0.0
4,22,31.02,0.0,0.0,0.0
4,23,26.2,0.0,0.0,0.0
4,24,21.71,0.0,0.0,0.0
5,1,17.69,0.0,0.0,0.0
5,2,18.05,0.0,0.0,0.0
5,3,17.09,0.0,0.0,0.0
5,4,16.6,0.0,15.263157894736842,0.0
5,5,15.92,14.5,30.0,0.0
5,6,14.64,43.0,30.0,0.0
5,7,14.57,71.5,30.0,0.0
5,8,18.17,100.0,0.0,0.0
5,9,23.06,100.0,0.0,0.0
5,10,24.0,100.0,0.0,0.0
5,11,24.32,100.0,0.0,0.0
5,12,30.28,100.0,0.0,0.0
5,13,35.16,100.0,0.0,0.0
5,14,60.74,100.0,0.0,0.0
5,15,68.12,100.0,0.0,30.0
5,16,86.36,68.42105263157895,0.0,9.090622904148587
5,17,92.41,58.85197589036991,0.0,8.302643915244703
5,18,77.17,50.11235071642811,0.0,14.278619800064495
5,19,48.23,35.08222461109706,0.0,12.966908726687164
5,20,36.77,21.43284700405794,0.0,20.361204653855044
5,21,37.43,0.0,0.0,0.0
5,22,36.4,0.0,0.0,0.0
5,23,29.42,0.0,0.0,0.0
5,24,22.36,0.0,0.0,0.0
6,1,18.74,0.0,0.0,0.0
6,2,16.98,0.0,0.0,0.0
6,3,17.07,0.0,0.0,0.0
6,4,16.37,0.0,15.263157894736842,0.0
6,5,16.33,14.5,30.0,0.0
6,6,15.36,43.0,30.0,0.0
6,7,16.0,71.5,30.0,0.0
6,8,17.31,100.0,0.0,0.0
6,9,18.39,100.0,0.0,0.0
6,10,23.35,100.0,0.0,0.0
6,11,24.01,100.0,0.0,0.0
6,12,28.86,100.0,0.0,0.0
6,13,32.39,100.0,0.0,0.0
6,14,57.23,100.0,0.0,0.0
6,15,68.84,100.0,0.0,30.0
6,16,99.34,68.42105263157895,0.0,9.090622904148587
6,17,122.47,58.85197589036991,0.0,8.302643915244703
6,18,84.03,50.11235071642811,0.0,14.278619800064495
6,19,59.28,35.08222461109706,0.0,12.966908726687164
6,20,47.22,21.43284700405794,0.0,20.361204653855044
6,21,34.2,0.0,0.0,0.0
6,22,31.19,0.0,0.0,0.0
6,23,30.15,0.0,0.0,0.0
6,24,29.22,0.0,0.0,0.0
7,1,17.22,0.0,0.0,0.0
7,2,15.34,0.0,0.0,0.0
7,3,16.05,0.0,0.0,0.0
7,4,15.02,0.0,15.263157894736842,0.0
7,5,14.41,14.5,30.0,0.0
7,6,13.0,43.0,30.0,0.0
7,7,13.28,71.5,30.0,0.0
7,8,15.36,100.0,0.0,0.0
7,9,17.61,100.0,0.0,0.0
7,10,18.43,100.0,0.0,0.0
7,11,22.01,100.0,0.0,0.0
7,12,24.11,100.0,0.0,0.0
7,13,26.72,100.0,0.0,0.0
7,14,47.12,100.0,0.0,0.0
7,15,39.76,100.0,0.0,30.0
7,16,61.76,68.42105263157895,0.0,9.090622904148587
7,17,63.1,58.85197589036991,0.0,8.302643915244703
7,18,57.3,50.11235071642811,0.0,14.278619800064495
7,19,41.45,35.08222461109706,0.0,12.966908726687164
7,20,34.04,21.43284700405794,0.0,20.361204653855044
7,21,26.18,0.0,0.0,0.0
7,22,24.04,0.0,0.0,0.0
7,23,24.11,0.0,0.0,0.0
7,24,21.08,0.0,0.0,0.0
8,1,25.02,0.0,0.0,0.0
8,2,15.82,0.0,0.0,0.0
8,3,16.29,0.0,0.0,0.0
8,4,15.03,0.0,15.263157894736842,0.0
8,5,15.04,14.5,30.0,0.0
8,6,13.23,43.0,30.0,0.0
8,7,13.46,71.5,30.0,0.0
8,8,14.93,100.0,0.0,0.0
8,9,17.22,100.0,0.0,0.0
8,10,17.83,100.0,0.0,0.0
8,11,21.31,100.0,0.0,0.0
8,12,21.41,100.0,0.0,0.0
8,13,20.64,100.0,0.0,0.0
8,14,42.57,100.0,0.0,0.0
8,15,103.48,100.0,0.0,30.0
8,16,181.81,68.42105263157895,0.0,9.090622904148587
8,17,196.45,58.85197589036991,0.0,8.302643915244703
